,names,types,betas,alphas,temps,pearson,kendall,spearman
37,"bert-base-uncased_none_wstopw_nbarycentersTrue_range(10, 13)",1,1,1,1,0.7244070178263327,0.5192649152328334,0.6992165287721036
38,mover_score,1,1,1,1,0.7115457762631849,0.5035251492003613,0.6827247179820303
39,bert_score_precision,1,1,1,1,0.7217582888012845,0.5277284546666512,0.7054319523417276
40,bert_score_recall,1,1,1,1,0.6873852369572638,0.49083468237904987,0.670626480493927
41,bert_score_f1,1,1,1,1,0.7220911849218651,0.528882888219327,0.7070494652574606
42,"bert-base-mnli_idf_wsw_nbarycentersTrue_range(8, 13)",1,1,1,1,0.751737936240246,0.557193072502073,0.7396314597793061
43,"bert-base-mnli_none_wsw_nbarycentersTrue_range(8, 13)",1,1,1,1,0.7470727943768408,0.545425395935973,0.7291615611458789
44,"bert-base-mnli_idf_wstopw_nbarycentersTrue_range(8, 13)",1,1,1,1,0.7550678844259127,0.5468887153145344,0.7332973891852488
45,"bert-base-mnli_none_wstopw_nbarycentersTrue_range(8, 13)",1,1,1,1,0.7450652928256125,0.5372051545197883,0.7229534425681886
46,"bert-base-mnli_idf_wsw_nbarycentersTrue_range(0, 13)",1,1,1,1,0.7026997240350923,0.501288592684647,0.6756703353296072
47,"bert-base-mnli_none_wsw_nbarycentersTrue_range(0, 13)",1,1,1,1,0.70392016078316,0.49697591557799725,0.6691262766822004
48,"bert-base-mnli_idf_wstopw_nbarycentersTrue_range(0, 13)",1,1,1,1,0.6957157981806511,0.4916511019722745,0.6639038231511443
49,"bert-base-mnli_none_wstopw_nbarycentersTrue_range(0, 13)",1,1,1,1,0.696047725511553,0.4914106152270328,0.6632877885835121
50,"bert-base-mnli_idf_wsw_nbarycentersTrue_range(10, 13)",1,1,1,1,0.7578200224776985,0.5623394269676288,0.745494395653181
51,"bert-base-mnli_none_wsw_nbarycentersTrue_range(10, 13)",1,1,1,1,0.7473711610836807,0.5509026197520781,0.733005626391049
52,"bert-base-mnli_idf_wstopw_nbarycentersTrue_range(10, 13)",1,1,1,1,0.7548669913073481,0.5539968577362512,0.739175571663145
53,"bert-base-mnli_none_wstopw_nbarycentersTrue_range(10, 13)",1,1,1,1,0.7444140397275595,0.5422611986460201,0.7270070418208466
54,"roberta-large-mnli_idf_wsw_nbarycentersTrue_range(20, 25)",1,1,1,1,0.44822962902351887,0.29306164004090524,0.4127244966141513
55,"roberta-large-mnli_none_wsw_nbarycentersTrue_range(20, 25)",1,1,1,1,0.44584025549533224,0.2807992144695019,0.3970659879118731
56,"roberta-large-mnli_idf_wstopw_nbarycentersTrue_range(20, 25)",1,1,1,1,0.45237055510474633,0.30046854272964935,0.4221848551367312
57,"roberta-large-mnli_none_wstopw_nbarycentersTrue_range(20, 25)",1,1,1,1,0.45695661346339583,0.28876499519115756,0.4075043793578338
58,"roberta-large-mnli_idf_wsw_nbarycentersTrue_range(0, 25)",1,1,1,1,0.5110756039267913,0.32297783142011854,0.4573865664780999
59,"roberta-large-mnli_none_wsw_nbarycentersTrue_range(0, 25)",1,1,1,1,0.4672792670850928,0.2886207048790392,0.41307086602456755
60,"roberta-large-mnli_idf_wstopw_nbarycentersTrue_range(0, 25)",1,1,1,1,0.465440530646751,0.29184318851634994,0.4137976849841743
61,"roberta-large-mnli_none_wstopw_nbarycentersTrue_range(0, 25)",1,1,1,1,0.49755446426173344,0.3113957739201622,0.44331536781974856
62,"roberta-large-mnli_idf_wsw_nbarycentersTrue_range(22, 25)",1,1,1,1,0.42490598632613685,0.28110157639198075,0.39709812898358227
63,"roberta-large-mnli_none_wsw_nbarycentersTrue_range(22, 25)",1,1,1,1,0.4273590985967642,0.27419167366719993,0.3871556564978343
64,"roberta-large-mnli_idf_wstopw_nbarycentersTrue_range(22, 25)",1,1,1,1,0.4323297939960746,0.29365483354628086,0.41237582319435306
65,"roberta-large-mnli_none_wstopw_nbarycentersTrue_range(22, 25)",1,1,1,1,0.43709592238483297,0.28200852923109987,0.3971705708106599
66,bert-base-uncased_mover_score_uniforme,1,1,1,1,0.7115457762631849,0.5035251492003613,0.6827247179820303
67,bert-base-uncased_idf,1,1,1,1,0.7187635750634126,0.5145294076696082,0.6946027351042098
68,new_score_baryscore_W,1,1,1,1,0.7305310639785075,0.5282067520231781,0.7055193528748068
69,new_score_baryscore_SD_10,1,1,1,1,0.730583606893338,0.5283189778214925,0.705542488969017
70,new_score_baryscore_SD_1,1,1,1,1,0.730583606893338,0.5283189778214925,0.705542488969017
71,new_score_baryscore_SD_5,1,1,1,1,0.730583606893338,0.5283189778214925,0.705542488969017
72,new_score_baryscore_SD_0.1,1,1,1,1,0.730583606893338,0.5283189778214925,0.705542488969017
73,new_score_baryscore_SD_0.5,1,1,1,1,0.730583606893338,0.5283189778214925,0.705542488969017
74,new_score_baryscore_SD_0.01,1,1,1,1,0.730583606893338,0.5283189778214925,0.705542488969017
75,new_score_baryscore_SD_0.001,1,1,1,1,0.730583606893338,0.5283189778214925,0.705542488969017
